years,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2169,0.7%,1.4%,0.7%,#DIV/0!,1.4%,0.9%,0.6%,0.9%,0.7%,0.7%,0.6%,1.4%,0.7%,1.4%,1.4%,0.7%,0.7%,1.4%,0.9%,0.7%,0.6%,0.9%,0.9%,0.9%,0.9%,0.9%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.9%,0.7%,1.4%,1.4%,1.4%,1.4%,0.9%,1.4%,1.4%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.4%,0.9%,0.7%,0.9%,1.4%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.7%,1.4%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.6%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,1.4%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.7%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.7%,0.9%,1.4%,0.7%,0.6%,1.4%,0.6%,0.7%,0.9%,0.7%,1.4%,0.7%,1.4%,1.4%,1.4%,#DIV/0!,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,0.6%,1.4%,0.9%,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,0.7%,1.4%,#DIV/0!,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.9%,0.9%,0.7%,0.7%,0.7%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.6%,1.4%,1.4%,1.4%,1.4%,0.7%,1.4%,0.9%,0.7%,#DIV/0!,0.7%,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.7%,0.6%,0.6%,0.7%,0.7%,0.9%,1.4%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.6%,0.9%,0.7%,0.6%,0.9%,0.7%,0.7%,0.7%,1.4%,1.4%,1.4%,1.4%
2170,0.7%,1.4%,0.7%,#DIV/0!,1.4%,0.9%,0.6%,0.9%,0.7%,0.7%,0.6%,1.4%,0.7%,1.4%,1.4%,0.7%,0.7%,1.4%,0.9%,0.7%,0.6%,0.9%,0.9%,0.9%,0.9%,0.9%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.9%,0.7%,1.4%,1.4%,1.4%,1.4%,0.9%,1.4%,1.4%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.4%,0.9%,0.7%,0.9%,1.4%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.7%,1.4%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.6%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,1.4%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.7%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.7%,0.9%,1.4%,0.7%,0.6%,1.4%,0.6%,0.7%,0.9%,0.7%,1.4%,0.7%,1.4%,1.4%,1.4%,#DIV/0!,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,0.6%,1.4%,0.9%,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,0.7%,1.4%,#DIV/0!,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.9%,0.9%,0.7%,0.7%,0.7%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.6%,1.4%,1.4%,1.4%,1.4%,0.7%,1.4%,0.9%,0.7%,#DIV/0!,0.7%,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.7%,0.6%,0.6%,0.7%,0.7%,0.9%,1.4%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.6%,0.9%,0.7%,0.6%,0.9%,0.7%,0.7%,0.7%,1.4%,1.4%,1.4%,1.4%
2171,0.7%,1.4%,0.7%,#DIV/0!,1.4%,0.9%,0.6%,0.9%,0.7%,0.7%,0.6%,1.4%,0.7%,1.4%,1.4%,0.7%,0.7%,1.4%,0.9%,0.7%,0.6%,0.9%,0.9%,0.9%,0.9%,0.9%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.9%,0.7%,1.4%,1.4%,1.4%,1.4%,0.9%,1.4%,1.4%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.4%,0.9%,0.7%,0.9%,1.4%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.7%,1.4%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.6%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,1.4%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.7%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.7%,0.9%,1.4%,0.7%,0.6%,1.4%,0.6%,0.7%,0.9%,0.7%,1.4%,0.7%,1.4%,1.4%,1.4%,#DIV/0!,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,0.6%,1.4%,0.9%,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,0.7%,1.4%,#DIV/0!,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.9%,0.9%,0.7%,0.7%,0.7%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.6%,1.4%,1.4%,1.4%,1.4%,0.7%,1.4%,0.9%,0.7%,#DIV/0!,0.7%,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.7%,0.6%,0.6%,0.7%,0.7%,0.9%,1.4%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.6%,0.9%,0.7%,0.6%,0.9%,0.7%,0.7%,0.7%,1.4%,1.4%,1.4%,1.4%
2172,0.7%,1.4%,0.7%,#DIV/0!,1.4%,0.9%,0.6%,0.9%,0.7%,0.7%,0.6%,1.4%,0.7%,1.4%,1.4%,0.7%,0.7%,1.4%,0.9%,0.7%,0.6%,0.9%,0.9%,0.9%,0.9%,0.9%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.9%,0.7%,1.4%,1.4%,1.4%,1.4%,0.9%,1.4%,1.4%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.4%,0.9%,0.7%,0.9%,1.4%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.7%,1.4%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.6%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,1.4%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.7%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.7%,0.9%,1.4%,0.7%,0.6%,1.4%,0.6%,0.7%,0.9%,0.7%,1.4%,0.7%,1.4%,1.4%,1.4%,#DIV/0!,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,0.6%,1.4%,0.9%,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,0.7%,1.4%,#DIV/0!,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.9%,0.9%,0.7%,0.7%,0.7%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.6%,1.4%,1.4%,1.4%,1.4%,0.7%,1.4%,0.9%,0.7%,#DIV/0!,0.7%,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.7%,0.6%,0.6%,0.7%,0.7%,0.9%,1.4%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.6%,0.9%,0.7%,0.6%,0.9%,0.7%,0.7%,0.7%,1.4%,1.4%,1.4%,1.4%
2173,0.7%,1.4%,0.7%,#DIV/0!,1.4%,0.9%,0.6%,0.9%,0.7%,0.7%,0.6%,1.4%,0.7%,1.4%,1.4%,0.7%,0.7%,1.4%,0.9%,0.7%,0.6%,0.9%,0.9%,0.9%,0.9%,0.9%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.9%,0.7%,1.4%,1.4%,1.4%,1.4%,0.9%,1.4%,1.4%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.4%,0.9%,0.7%,0.9%,1.4%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.7%,1.4%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.6%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,1.4%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.7%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.7%,0.9%,1.4%,0.7%,0.6%,1.4%,0.6%,0.7%,0.9%,0.7%,1.4%,0.7%,1.4%,1.4%,1.4%,#DIV/0!,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,0.6%,1.4%,0.9%,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,0.7%,1.4%,#DIV/0!,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.9%,0.9%,0.7%,0.7%,0.7%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.6%,1.4%,1.4%,1.4%,1.4%,0.7%,1.4%,0.9%,0.7%,#DIV/0!,0.7%,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.7%,0.6%,0.6%,0.7%,0.7%,0.9%,1.4%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.6%,0.9%,0.7%,0.6%,0.9%,0.7%,0.7%,0.7%,1.4%,1.4%,1.4%,1.4%
2174,0.7%,1.4%,0.6%,#DIV/0!,1.4%,0.9%,0.6%,0.9%,0.6%,0.6%,0.6%,1.4%,0.6%,1.4%,1.4%,0.7%,0.6%,1.4%,0.9%,0.6%,0.6%,0.9%,0.9%,0.9%,0.9%,0.9%,0.7%,0.7%,1.4%,1.4%,0.6%,0.6%,0.9%,0.7%,1.4%,1.4%,1.4%,1.4%,0.9%,1.4%,1.4%,0.9%,#DIV/0!,0.6%,0.6%,0.6%,1.4%,0.9%,0.6%,0.9%,1.4%,0.9%,1.4%,1.4%,#DIV/0!,0.6%,0.6%,1.4%,0.6%,0.7%,0.6%,0.7%,1.4%,0.6%,0.6%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,1.4%,0.6%,0.9%,0.9%,#DIV/0!,0.9%,0.7%,0.9%,0.6%,0.9%,0.6%,0.7%,0.7%,0.6%,1.4%,1.4%,0.6%,0.6%,0.6%,0.9%,1.4%,0.7%,0.6%,1.4%,0.6%,0.7%,0.9%,0.7%,1.4%,0.7%,1.4%,1.4%,1.4%,#DIV/0!,0.7%,1.4%,0.6%,0.6%,0.6%,1.4%,0.6%,1.4%,0.9%,0.6%,1.4%,0.7%,0.6%,0.7%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,0.7%,1.4%,#DIV/0!,1.4%,1.4%,0.9%,0.6%,0.6%,0.7%,0.7%,0.6%,1.4%,0.7%,0.9%,0.9%,0.7%,0.7%,0.7%,0.6%,0.9%,#DIV/0!,0.6%,0.9%,1.4%,1.4%,#DIV/0!,0.6%,0.6%,1.4%,1.4%,1.4%,1.4%,0.7%,1.4%,0.9%,0.6%,#DIV/0!,0.6%,1.4%,1.4%,0.9%,0.6%,0.6%,0.6%,#DIV/0!,1.4%,1.4%,0.7%,0.6%,0.6%,0.7%,0.7%,0.9%,1.4%,0.6%,0.7%,#DIV/0!,1.4%,1.4%,0.6%,0.9%,0.6%,0.6%,0.9%,0.7%,0.7%,0.7%,1.4%,1.4%,1.4%,1.4%
2175,0.7%,1.4%,0.6%,#DIV/0!,1.4%,0.8%,0.6%,0.8%,0.6%,0.6%,0.6%,1.4%,0.6%,1.4%,1.4%,0.7%,0.6%,1.4%,0.8%,0.6%,0.6%,0.8%,0.8%,0.8%,0.8%,0.8%,0.7%,0.7%,1.4%,1.4%,0.6%,0.6%,0.8%,0.7%,1.4%,1.4%,1.4%,1.4%,0.8%,1.4%,1.4%,0.8%,#DIV/0!,0.6%,0.6%,0.6%,1.4%,0.8%,0.6%,0.8%,1.4%,0.8%,1.4%,1.4%,#DIV/0!,0.6%,0.6%,1.4%,0.6%,0.7%,0.6%,0.7%,1.4%,0.6%,0.6%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,1.4%,0.6%,0.8%,0.8%,#DIV/0!,0.8%,0.7%,0.8%,0.6%,0.8%,0.6%,0.7%,0.7%,0.6%,1.4%,1.4%,0.6%,0.6%,0.6%,0.8%,1.4%,0.7%,0.6%,1.4%,0.6%,0.7%,0.8%,0.7%,1.4%,0.7%,1.4%,1.4%,1.4%,#DIV/0!,0.7%,1.4%,0.6%,0.6%,0.6%,1.4%,0.6%,1.4%,0.8%,0.6%,1.4%,0.7%,0.6%,0.7%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,0.7%,1.4%,#DIV/0!,1.4%,1.4%,0.8%,0.6%,0.6%,0.7%,0.7%,0.6%,1.4%,0.7%,0.8%,0.8%,0.7%,0.7%,0.7%,0.6%,0.8%,#DIV/0!,0.6%,0.8%,1.4%,1.4%,#DIV/0!,0.6%,0.6%,1.4%,1.4%,1.4%,1.4%,0.7%,1.4%,0.8%,0.6%,#DIV/0!,0.6%,1.4%,1.4%,0.8%,0.6%,0.6%,0.6%,#DIV/0!,1.4%,1.4%,0.7%,0.6%,0.6%,0.7%,0.7%,0.8%,1.4%,0.6%,0.7%,#DIV/0!,1.4%,1.4%,0.6%,0.8%,0.6%,0.6%,0.8%,0.7%,0.7%,0.7%,1.4%,1.4%,1.4%,1.4%
2176,0.7%,1.3%,0.6%,#DIV/0!,1.3%,0.8%,0.6%,0.8%,0.6%,0.6%,0.6%,1.3%,0.6%,1.3%,1.3%,0.7%,0.6%,1.3%,0.8%,0.6%,0.6%,0.8%,0.8%,0.8%,0.8%,0.8%,0.7%,0.7%,1.3%,1.3%,0.6%,0.6%,0.8%,0.7%,1.3%,1.3%,1.3%,1.3%,0.8%,1.3%,1.3%,0.8%,#DIV/0!,0.6%,0.6%,0.6%,1.3%,0.8%,0.6%,0.8%,1.3%,0.8%,1.3%,1.3%,#DIV/0!,0.6%,0.6%,1.3%,0.6%,0.7%,0.6%,0.7%,1.3%,0.6%,0.6%,1.3%,1.3%,#DIV/0!,1.3%,1.3%,1.3%,0.6%,0.8%,0.8%,#DIV/0!,0.8%,0.7%,0.8%,0.6%,0.8%,0.6%,0.7%,0.7%,0.6%,1.3%,1.3%,0.6%,0.6%,0.6%,0.8%,1.3%,0.7%,0.6%,1.3%,0.6%,0.7%,0.8%,0.7%,1.3%,0.7%,1.3%,1.3%,1.3%,#DIV/0!,0.7%,1.3%,0.6%,0.6%,0.6%,1.3%,0.6%,1.3%,0.8%,0.6%,1.3%,0.7%,0.6%,0.7%,1.3%,1.3%,#DIV/0!,1.3%,1.3%,0.7%,1.3%,#DIV/0!,1.3%,1.3%,0.8%,0.6%,0.6%,0.7%,0.7%,0.6%,1.3%,0.7%,0.8%,0.8%,0.7%,0.7%,0.7%,0.6%,0.8%,#DIV/0!,0.6%,0.8%,1.3%,1.3%,#DIV/0!,0.6%,0.6%,1.3%,1.3%,1.3%,1.3%,0.7%,1.3%,0.8%,0.6%,#DIV/0!,0.6%,1.3%,1.3%,0.8%,0.6%,0.6%,0.6%,#DIV/0!,1.3%,1.3%,0.7%,0.6%,0.6%,0.7%,0.7%,0.8%,1.3%,0.6%,0.7%,#DIV/0!,1.3%,1.3%,0.6%,0.8%,0.6%,0.6%,0.8%,0.7%,0.7%,0.7%,1.3%,1.3%,1.3%,1.3%
2177,0.7%,1.3%,0.6%,#DIV/0!,1.3%,0.8%,0.6%,0.8%,0.6%,0.6%,0.6%,1.3%,0.6%,1.3%,1.3%,0.7%,0.6%,1.3%,0.8%,0.6%,0.6%,0.8%,0.8%,0.8%,0.8%,0.8%,0.7%,0.7%,1.3%,1.3%,0.6%,0.6%,0.8%,0.7%,1.3%,1.3%,1.3%,1.3%,0.8%,1.3%,1.3%,0.8%,#DIV/0!,0.6%,0.6%,0.6%,1.3%,0.8%,0.6%,0.8%,1.3%,0.8%,1.3%,1.3%,#DIV/0!,0.6%,0.6%,1.3%,0.6%,0.7%,0.6%,0.7%,1.3%,0.6%,0.6%,1.3%,1.3%,#DIV/0!,1.3%,1.3%,1.3%,0.6%,0.8%,0.8%,#DIV/0!,0.8%,0.7%,0.8%,0.6%,0.8%,0.6%,0.7%,0.7%,0.6%,1.3%,1.3%,0.6%,0.6%,0.6%,0.8%,1.3%,0.7%,0.6%,1.3%,0.6%,0.7%,0.8%,0.7%,1.3%,0.7%,1.3%,1.3%,1.3%,#DIV/0!,0.7%,1.3%,0.6%,0.6%,0.6%,1.3%,0.6%,1.3%,0.8%,0.6%,1.3%,0.7%,0.6%,0.7%,1.3%,1.3%,#DIV/0!,1.3%,1.3%,0.7%,1.3%,#DIV/0!,1.3%,1.3%,0.8%,0.6%,0.6%,0.7%,0.7%,0.6%,1.3%,0.7%,0.8%,0.8%,0.7%,0.7%,0.7%,0.6%,0.8%,#DIV/0!,0.6%,0.8%,1.3%,1.3%,#DIV/0!,0.6%,0.6%,1.3%,1.3%,1.3%,1.3%,0.7%,1.3%,0.8%,0.6%,#DIV/0!,0.6%,1.3%,1.3%,0.8%,0.6%,0.6%,0.6%,#DIV/0!,1.3%,1.3%,0.7%,0.6%,0.6%,0.7%,0.7%,0.8%,1.3%,0.6%,0.7%,#DIV/0!,1.3%,1.3%,0.6%,0.8%,0.6%,0.6%,0.8%,0.7%,0.7%,0.7%,1.3%,1.3%,1.3%,1.3%
2178,0.7%,1.3%,0.6%,#DIV/0!,1.3%,0.8%,0.6%,0.8%,0.6%,0.6%,0.6%,1.3%,0.6%,1.3%,1.3%,0.7%,0.6%,1.3%,0.8%,0.6%,0.6%,0.8%,0.8%,0.8%,0.8%,0.8%,0.7%,0.7%,1.3%,1.3%,0.6%,0.6%,0.8%,0.7%,1.3%,1.3%,1.3%,1.3%,0.8%,1.3%,1.3%,0.8%,#DIV/0!,0.6%,0.6%,0.6%,1.3%,0.8%,0.6%,0.8%,1.3%,0.8%,1.3%,1.3%,#DIV/0!,0.6%,0.6%,1.3%,0.6%,0.7%,0.6%,0.7%,1.3%,0.6%,0.6%,1.3%,1.3%,#DIV/0!,1.3%,1.3%,1.3%,0.6%,0.8%,0.8%,#DIV/0!,0.8%,0.7%,0.8%,0.6%,0.8%,0.6%,0.7%,0.7%,0.6%,1.3%,1.3%,0.6%,0.6%,0.6%,0.8%,1.3%,0.7%,0.6%,1.3%,0.6%,0.7%,0.8%,0.7%,1.3%,0.7%,1.3%,1.3%,1.3%,#DIV/0!,0.7%,1.3%,0.6%,0.6%,0.6%,1.3%,0.6%,1.3%,0.8%,0.6%,1.3%,0.7%,0.6%,0.7%,1.3%,1.3%,#DIV/0!,1.3%,1.3%,0.7%,1.3%,#DIV/0!,1.3%,1.3%,0.8%,0.6%,0.6%,0.7%,0.7%,0.6%,1.3%,0.7%,0.8%,0.8%,0.7%,0.7%,0.7%,0.6%,0.8%,#DIV/0!,0.6%,0.8%,1.3%,1.3%,#DIV/0!,0.6%,0.6%,1.3%,1.3%,1.3%,1.3%,0.7%,1.3%,0.8%,0.6%,#DIV/0!,0.6%,1.3%,1.3%,0.8%,0.6%,0.6%,0.6%,#DIV/0!,1.3%,1.3%,0.7%,0.6%,0.6%,0.7%,0.7%,0.8%,1.3%,0.6%,0.7%,#DIV/0!,1.3%,1.3%,0.6%,0.8%,0.6%,0.6%,0.8%,0.7%,0.7%,0.7%,1.3%,1.3%,1.3%,1.3%
2179,0.7%,1.3%,0.6%,#DIV/0!,1.3%,0.8%,0.6%,0.8%,0.6%,0.6%,0.6%,1.3%,0.6%,1.3%,1.3%,0.7%,0.6%,1.3%,0.8%,0.6%,0.6%,0.8%,0.8%,0.8%,0.8%,0.8%,0.7%,0.7%,1.3%,1.3%,0.6%,0.6%,0.8%,0.7%,1.3%,1.3%,1.3%,1.3%,0.8%,1.3%,1.3%,0.8%,#DIV/0!,0.6%,0.6%,0.6%,1.3%,0.8%,0.6%,0.8%,1.3%,0.8%,1.3%,1.3%,#DIV/0!,0.6%,0.6%,1.3%,0.6%,0.7%,0.6%,0.7%,1.3%,0.6%,0.6%,1.3%,1.3%,#DIV/0!,1.3%,1.3%,1.3%,0.6%,0.8%,0.8%,#DIV/0!,0.8%,0.7%,0.8%,0.6%,0.8%,0.6%,0.7%,0.7%,0.6%,1.3%,1.3%,0.6%,0.6%,0.6%,0.8%,1.3%,0.7%,0.6%,1.3%,0.6%,0.7%,0.8%,0.7%,1.3%,0.7%,1.3%,1.3%,1.3%,#DIV/0!,0.7%,1.3%,0.6%,0.6%,0.6%,1.3%,0.6%,1.3%,0.8%,0.6%,1.3%,0.7%,0.6%,0.7%,1.3%,1.3%,#DIV/0!,1.3%,1.3%,0.7%,1.3%,#DIV/0!,1.3%,1.3%,0.8%,0.6%,0.6%,0.7%,0.7%,0.6%,1.3%,0.7%,0.8%,0.8%,0.7%,0.7%,0.7%,0.6%,0.8%,#DIV/0!,0.6%,0.8%,1.3%,1.3%,#DIV/0!,0.6%,0.6%,1.3%,1.3%,1.3%,1.3%,0.7%,1.3%,0.8%,0.6%,#DIV/0!,0.6%,1.3%,1.3%,0.8%,0.6%,0.6%,0.6%,#DIV/0!,1.3%,1.3%,0.7%,0.6%,0.6%,0.7%,0.7%,0.8%,1.3%,0.6%,0.7%,#DIV/0!,1.3%,1.3%,0.6%,0.8%,0.6%,0.6%,0.8%,0.7%,0.7%,0.7%,1.3%,1.3%,1.3%,1.3%
2180,0.7%,1.3%,0.6%,#DIV/0!,1.3%,0.8%,0.6%,0.8%,0.6%,0.6%,0.6%,1.3%,0.6%,1.3%,1.3%,0.7%,0.6%,1.3%,0.8%,0.6%,0.6%,0.8%,0.8%,0.8%,0.8%,0.8%,0.7%,0.7%,1.3%,1.3%,0.6%,0.6%,0.8%,0.7%,1.3%,1.3%,1.3%,1.3%,0.8%,1.3%,1.3%,0.8%,#DIV/0!,0.6%,0.6%,0.6%,1.3%,0.8%,0.6%,0.8%,1.3%,0.8%,1.3%,1.3%,#DIV/0!,0.6%,0.6%,1.3%,0.6%,0.7%,0.6%,0.7%,1.3%,0.6%,0.6%,1.3%,1.3%,#DIV/0!,1.3%,1.3%,1.3%,0.6%,0.8%,0.8%,#DIV/0!,0.8%,0.7%,0.8%,0.6%,0.8%,0.6%,0.7%,0.7%,0.6%,1.3%,1.3%,0.6%,0.6%,0.6%,0.8%,1.3%,0.7%,0.6%,1.3%,0.6%,0.7%,0.8%,0.7%,1.3%,0.7%,1.3%,1.3%,1.3%,#DIV/0!,0.7%,1.3%,0.6%,0.6%,0.6%,1.3%,0.6%,1.3%,0.8%,0.6%,1.3%,0.7%,0.6%,0.7%,1.3%,1.3%,#DIV/0!,1.3%,1.3%,0.7%,1.3%,#DIV/0!,1.3%,1.3%,0.8%,0.6%,0.6%,0.7%,0.7%,0.6%,1.3%,0.7%,0.8%,0.8%,0.7%,0.7%,0.7%,0.6%,0.8%,#DIV/0!,0.6%,0.8%,1.3%,1.3%,#DIV/0!,0.6%,0.6%,1.3%,1.3%,1.3%,1.3%,0.7%,1.3%,0.8%,0.6%,#DIV/0!,0.6%,1.3%,1.3%,0.8%,0.6%,0.6%,0.6%,#DIV/0!,1.3%,1.3%,0.7%,0.6%,0.6%,0.7%,0.7%,0.8%,1.3%,0.6%,0.7%,#DIV/0!,1.3%,1.3%,0.6%,0.8%,0.6%,0.6%,0.8%,0.7%,0.7%,0.7%,1.3%,1.3%,1.3%,1.3%
2181,0.7%,1.3%,0.6%,#DIV/0!,1.3%,0.8%,0.6%,0.8%,0.6%,0.6%,0.6%,1.3%,0.6%,1.3%,1.3%,0.7%,0.6%,1.3%,0.8%,0.6%,0.6%,0.8%,0.8%,0.8%,0.8%,0.8%,0.7%,0.7%,1.3%,1.3%,0.6%,0.6%,0.8%,0.7%,1.3%,1.3%,1.3%,1.3%,0.8%,1.3%,1.3%,0.8%,#DIV/0!,0.6%,0.6%,0.6%,1.3%,0.8%,0.6%,0.8%,1.3%,0.8%,1.3%,1.3%,#DIV/0!,0.6%,0.6%,1.3%,0.6%,0.7%,0.6%,0.7%,1.3%,0.6%,0.6%,1.3%,1.3%,#DIV/0!,1.3%,1.3%,1.3%,0.6%,0.8%,0.8%,#DIV/0!,0.8%,0.7%,0.8%,0.6%,0.8%,0.6%,0.7%,0.7%,0.6%,1.3%,1.3%,0.6%,0.6%,0.6%,0.8%,1.3%,0.7%,0.6%,1.3%,0.6%,0.7%,0.8%,0.7%,1.3%,0.7%,1.3%,1.3%,1.3%,#DIV/0!,0.7%,1.3%,0.6%,0.6%,0.6%,1.3%,0.6%,1.3%,0.8%,0.6%,1.3%,0.7%,0.6%,0.7%,1.3%,1.3%,#DIV/0!,1.3%,1.3%,0.7%,1.3%,#DIV/0!,1.3%,1.3%,0.8%,0.6%,0.6%,0.7%,0.7%,0.6%,1.3%,0.7%,0.8%,0.8%,0.7%,0.7%,0.7%,0.6%,0.8%,#DIV/0!,0.6%,0.8%,1.3%,1.3%,#DIV/0!,0.6%,0.6%,1.3%,1.3%,1.3%,1.3%,0.7%,1.3%,0.8%,0.6%,#DIV/0!,0.6%,1.3%,1.3%,0.8%,0.6%,0.6%,0.6%,#DIV/0!,1.3%,1.3%,0.7%,0.6%,0.6%,0.7%,0.7%,0.8%,1.3%,0.6%,0.7%,#DIV/0!,1.3%,1.3%,0.6%,0.8%,0.6%,0.6%,0.8%,0.7%,0.7%,0.7%,1.3%,1.3%,1.3%,1.3%
